Time Stamp, Oakland
Tue Jan 15 09:00:44 2013,         14
Tue Jan 15 09:01:06 2013,         14
Tue Jan 15 09:01:28 2013,         14
Tue Jan 15 09:01:49 2013,         14
Tue Jan 15 09:02:11 2013,         14
Tue Jan 15 09:02:33 2013,         16
Tue Jan 15 09:02:55 2013,         16
Tue Jan 15 09:03:16 2013,         16
Tue Jan 15 09:03:38 2013,         16
Tue Jan 15 09:04:00 2013,         16
Tue Jan 15 09:04:22 2013,         18
Tue Jan 15 09:04:43 2013,         18
Tue Jan 15 09:05:05 2013,         18
Tue Jan 15 09:05:26 2013,         18
Tue Jan 15 09:05:48 2013,         18
Tue Jan 15 09:06:10 2013,         18
Tue Jan 15 09:06:31 2013,         20
Tue Jan 15 09:06:53 2013,         20
Tue Jan 15 09:07:15 2013,         20
Tue Jan 15 09:07:36 2013,         20
Tue Jan 15 09:07:58 2013,         20
Tue Jan 15 09:08:20 2013,         22
Tue Jan 15 09:08:42 2013,         22
Tue Jan 15 09:09:03 2013,         22
Tue Jan 15 09:09:25 2013,         22
Tue Jan 15 09:09:46 2013,         22
Tue Jan 15 09:10:08 2013,         22
Tue Jan 15 09:10:30 2013,         24
Tue Jan 15 09:10:51 2013,         24
Tue Jan 15 09:11:13 2013,         24
Tue Jan 15 09:11:35 2013,         24
Tue Jan 15 09:11:57 2013,         24
Tue Jan 15 09:12:19 2013,         26
Tue Jan 15 09:12:41 2013,         26
Tue Jan 15 09:13:03 2013,         26
Tue Jan 15 09:13:24 2013,         26
Tue Jan 15 09:13:46 2013,         26
Tue Jan 15 09:14:08 2013,         26
Tue Jan 15 09:14:30 2013,         28
Tue Jan 15 09:14:52 2013,         28
Tue Jan 15 09:15:13 2013,         28
Tue Jan 15 09:15:35 2013,         28
Tue Jan 15 09:15:57 2013,         28
Tue Jan 15 09:16:19 2013,         30
Tue Jan 15 09:16:41 2013,         30
Tue Jan 15 09:17:03 2013,         30
Tue Jan 15 09:17:24 2013,         30
Tue Jan 15 09:17:46 2013,         30
Tue Jan 15 09:18:08 2013,         30
Tue Jan 15 09:18:30 2013,         32
Tue Jan 15 09:18:52 2013,         32
Tue Jan 15 09:19:14 2013,         32
Tue Jan 15 09:19:36 2013,         32
Tue Jan 15 09:19:58 2013,         32
Tue Jan 15 09:20:19 2013,         34
Tue Jan 15 09:20:41 2013,         34
Tue Jan 15 09:21:03 2013,         34
Tue Jan 15 09:21:25 2013,         34
Tue Jan 15 09:21:46 2013,         34
Tue Jan 15 09:22:08 2013,         34
Tue Jan 15 09:22:30 2013,         32
Tue Jan 15 09:22:52 2013,         32
Tue Jan 15 09:23:13 2013,         32
Tue Jan 15 09:23:35 2013,         32
Tue Jan 15 09:23:57 2013,         32
Tue Jan 15 09:24:19 2013,         34
Tue Jan 15 09:24:41 2013,         34
Tue Jan 15 09:25:03 2013,         34
Tue Jan 15 09:25:25 2013,         34
Tue Jan 15 09:25:47 2013,         34
Tue Jan 15 09:26:09 2013,         34
Tue Jan 15 09:26:30 2013,         35
Tue Jan 15 09:26:52 2013,        -10
Tue Jan 15 09:27:14 2013,         35
Tue Jan 15 09:27:37 2013,         35
Tue Jan 15 09:27:58 2013,         35
Tue Jan 15 09:28:20 2013,         37
Tue Jan 15 09:28:42 2013,         37
Tue Jan 15 09:29:04 2013,         37
Tue Jan 15 09:29:26 2013,         37
Tue Jan 15 09:29:47 2013,         37
Tue Jan 15 09:30:09 2013,         37
Tue Jan 15 09:30:31 2013,         30
Tue Jan 15 09:30:53 2013,         30
Tue Jan 15 09:31:15 2013,         30
Tue Jan 15 09:31:36 2013,         30
Tue Jan 15 09:31:58 2013,         30
Tue Jan 15 09:32:20 2013,         32
Tue Jan 15 09:32:42 2013,         32
Tue Jan 15 09:33:04 2013,         32
Tue Jan 15 09:33:26 2013,         32
Tue Jan 15 09:33:48 2013,         32
Tue Jan 15 09:34:09 2013,         32
Tue Jan 15 09:34:31 2013,         34
Tue Jan 15 09:34:53 2013,         34
Tue Jan 15 09:35:14 2013,         34
Tue Jan 15 09:35:37 2013,         34
Tue Jan 15 09:35:58 2013,         34
Tue Jan 15 09:36:20 2013,         36
Tue Jan 15 09:36:42 2013,         36
Tue Jan 15 09:37:04 2013,         36
Tue Jan 15 09:37:26 2013,         36
Tue Jan 15 09:37:48 2013,         36
Tue Jan 15 09:38:09 2013,         36
Tue Jan 15 09:38:31 2013,         38
Tue Jan 15 09:38:53 2013,         38
Tue Jan 15 09:39:15 2013,         38
Tue Jan 15 09:39:37 2013,         38
Tue Jan 15 09:39:58 2013,         38
Tue Jan 15 09:40:20 2013,         40
Tue Jan 15 09:40:42 2013,         40
Tue Jan 15 09:41:04 2013,         40
Tue Jan 15 09:41:25 2013,         40
Tue Jan 15 09:41:47 2013,         40
Tue Jan 15 09:42:09 2013,         40
Tue Jan 15 09:42:31 2013,         41
Tue Jan 15 09:42:53 2013,         41
Tue Jan 15 09:43:14 2013,         41
Tue Jan 15 09:43:37 2013,         41
Tue Jan 15 09:43:59 2013,         41
Tue Jan 15 09:44:21 2013,         43
Tue Jan 15 09:44:43 2013,         43
Tue Jan 15 09:45:05 2013,         43
Tue Jan 15 09:45:27 2013,         43
Tue Jan 15 09:45:48 2013,         43
Tue Jan 15 09:46:10 2013,         43
Tue Jan 15 09:46:32 2013,         41
Tue Jan 15 09:46:53 2013,         41
Tue Jan 15 09:47:16 2013,         41
Tue Jan 15 09:47:38 2013,         41
Tue Jan 15 09:47:59 2013,         41
Tue Jan 15 09:48:22 2013,         43
Tue Jan 15 09:48:43 2013,         43
Tue Jan 15 09:49:05 2013,         43
Tue Jan 15 09:49:27 2013,         43
Tue Jan 15 09:49:49 2013,         43
Tue Jan 15 09:50:10 2013,         43
Tue Jan 15 09:50:32 2013,         45
Tue Jan 15 09:50:54 2013,         45
Tue Jan 15 09:51:16 2013,         45
Tue Jan 15 09:51:38 2013,         45
Tue Jan 15 09:52:00 2013,         45
Tue Jan 15 09:52:22 2013,         47
Tue Jan 15 09:52:44 2013,         47
Tue Jan 15 09:53:05 2013,         47
Tue Jan 15 09:53:27 2013,         47
Tue Jan 15 09:53:49 2013,         47
Tue Jan 15 09:54:11 2013,         47
Tue Jan 15 09:54:32 2013,         39
Tue Jan 15 09:54:55 2013,         39
Tue Jan 15 09:55:17 2013,         39
Tue Jan 15 09:55:38 2013,         39
Tue Jan 15 09:56:00 2013,         39
Tue Jan 15 09:56:22 2013,         41
Tue Jan 15 09:56:44 2013,         41
Tue Jan 15 09:57:07 2013,         41
Tue Jan 15 09:57:29 2013,         41
Tue Jan 15 09:57:51 2013,         41
Tue Jan 15 09:58:13 2013,         39
Tue Jan 15 09:58:35 2013,         39
Tue Jan 15 09:58:57 2013,         39
Tue Jan 15 09:59:19 2013,         39
Tue Jan 15 09:59:41 2013,         39
Tue Jan 15 10:00:02 2013,         39
Tue Jan 15 10:00:24 2013,         41
Tue Jan 15 10:00:46 2013,         41
Tue Jan 15 10:01:08 2013,         41
Tue Jan 15 10:01:30 2013,         41
Tue Jan 15 10:01:51 2013,         41
Tue Jan 15 10:02:13 2013,         43
Tue Jan 15 10:02:35 2013,         23
Tue Jan 15 10:02:57 2013,         43
Tue Jan 15 10:03:19 2013,         43
Tue Jan 15 10:03:40 2013,         43
Tue Jan 15 10:04:02 2013,         43
Tue Jan 15 10:04:24 2013,         44
Tue Jan 15 10:04:47 2013,         44
Tue Jan 15 10:05:09 2013,         44
Tue Jan 15 10:05:30 2013,         44
Tue Jan 15 10:05:52 2013,         44
Tue Jan 15 10:06:15 2013,         45
Tue Jan 15 10:06:37 2013,         45
Tue Jan 15 10:06:59 2013,         45
Tue Jan 15 10:07:21 2013,         45
Tue Jan 15 10:07:43 2013,         45
Tue Jan 15 10:08:05 2013,         45
Tue Jan 15 10:08:28 2013,         47
Tue Jan 15 10:08:50 2013,         47
Tue Jan 15 10:09:12 2013,         47
Tue Jan 15 10:09:34 2013,         47
Tue Jan 15 10:09:56 2013,         47
Tue Jan 15 10:10:18 2013,         47
Tue Jan 15 10:10:40 2013,         47
Tue Jan 15 10:11:01 2013,         47
Tue Jan 15 10:11:23 2013,         47
Tue Jan 15 10:11:45 2013,         47
Tue Jan 15 10:12:07 2013,         47
Tue Jan 15 10:12:28 2013,         49
Tue Jan 15 10:12:50 2013,        -10
Tue Jan 15 10:13:12 2013,         49
Tue Jan 15 10:13:34 2013,         49
Tue Jan 15 10:13:56 2013,         49
Tue Jan 15 10:14:18 2013,         47
Tue Jan 15 10:14:40 2013,         47
Tue Jan 15 10:15:02 2013,         47
Tue Jan 15 10:15:24 2013,         47
Tue Jan 15 10:15:46 2013,         47
Tue Jan 15 10:16:07 2013,         47
Tue Jan 15 10:16:30 2013,         49
Tue Jan 15 10:16:52 2013,         49
Tue Jan 15 10:17:13 2013,         49
Tue Jan 15 10:17:35 2013,         49
Tue Jan 15 10:17:57 2013,         49
Tue Jan 15 10:18:19 2013,         51
Tue Jan 15 10:18:41 2013,         51
Tue Jan 15 10:19:03 2013,         51
Tue Jan 15 10:19:25 2013,         51
Tue Jan 15 10:19:47 2013,         51
Tue Jan 15 10:20:09 2013,         51
Tue Jan 15 10:20:30 2013,         53
Tue Jan 15 10:20:52 2013,         53
Tue Jan 15 10:21:14 2013,         53
Tue Jan 15 10:21:36 2013,         53
Tue Jan 15 10:21:57 2013,         53
Tue Jan 15 10:22:19 2013,         55
Tue Jan 15 10:22:41 2013,         55
Tue Jan 15 10:23:03 2013,         55
Tue Jan 15 10:23:25 2013,         55
Tue Jan 15 10:23:47 2013,         55
Tue Jan 15 10:24:09 2013,         55
Tue Jan 15 10:24:31 2013,         57
Tue Jan 15 10:24:52 2013,         57
Tue Jan 15 10:25:14 2013,         57
Tue Jan 15 10:25:36 2013,         57
Tue Jan 15 10:25:58 2013,         57
Tue Jan 15 10:26:20 2013,         59
Tue Jan 15 10:26:41 2013,         59
Tue Jan 15 10:27:03 2013,         59
Tue Jan 15 10:27:25 2013,         59
Tue Jan 15 10:27:47 2013,         59
Tue Jan 15 10:28:10 2013,         59
Tue Jan 15 10:28:32 2013,         61
Tue Jan 15 10:28:54 2013,         61
Tue Jan 15 10:29:16 2013,         61
Tue Jan 15 10:29:38 2013,         61
Tue Jan 15 10:29:59 2013,         61
Tue Jan 15 10:30:21 2013,         63
Tue Jan 15 10:30:43 2013,         63
Tue Jan 15 10:31:05 2013,         63
Tue Jan 15 10:31:26 2013,         63
Tue Jan 15 10:31:48 2013,         63
Tue Jan 15 10:32:10 2013,         63
Tue Jan 15 10:32:32 2013,         65
Tue Jan 15 10:32:53 2013,         65
Tue Jan 15 10:33:15 2013,         65
Tue Jan 15 10:33:38 2013,         65
Tue Jan 15 10:33:59 2013,         65
Tue Jan 15 10:34:22 2013,         67
Tue Jan 15 10:34:44 2013,         67
Tue Jan 15 10:35:06 2013,         67
Tue Jan 15 10:35:28 2013,         67
Tue Jan 15 10:35:50 2013,         67
Tue Jan 15 10:36:11 2013,         67
Tue Jan 15 10:36:33 2013,         69
Tue Jan 15 10:36:55 2013,         69
Tue Jan 15 10:37:17 2013,         69
